SL,query,ndcg_metric,top_model,highest_ndcg_score,second_top_model,second_highest_ndcg_score,third_top_model,third_highest_ndcg_score,relevance_gpt,faithfulness_gpt,relevance_lama,faithfulness_lama,annotator_name,scores_equal,Unique_document,source_file
90,Is climate change a major global threat?,_ndcg@3,BM25,0.9653606369886216,BM25-llava,0.8715048917840704,Mistral,0.8715048917840704,3,3,3,3,Mazz Hussian,,7,manual
91,Is China the world's leading economic power?,_ndcg@1,Mistral-llava,1.0,BM25,1.0,Mistral,1.0,3,3,2,3,Mazz Hussian,1&2&3,7,manual
92,Is China the world's leading economic power?,_ndcg@2,BM25,1.0,Mistral-llava,1.0,Qwen2,1.0,3,3,3,3,Mazz Hussian,1&2&3,7,manual
93,Is China the world's leading economic power?,_ndcg@3,Mistral,1.0,BM25,1.0,Qwen2,1.0,3,3,3,3,Mazz Hussian,1&2&3,7,manual
94,Does tourism significantly impact Europe's GDP?,_ndcg@1,Mistral,1.0,Qwen2,1.0,Clip,0.25,2,3,2,1,Manish,1&2,14,manual
95,Does tourism significantly impact Europe's GDP?,_ndcg@2,Qwen2,1.0,Mistral,1.0,Clip,0.1532867981913646,2,3,2,2,Manish,1&2,14,manual
96,Does tourism significantly impact Europe's GDP?,_ndcg@3,Mistral,1.0,Qwen2,0.9376847570173164,Clip,0.2492609719307343,3,3,3,1,Manish,,14,manual
97,Do Hispanics face discrimination in the US?,_ndcg@1,Mistral-llava,1.0,Qwen2,1.0,Clip,1.0,3,3,3,3,Devang,1&2&3,9,manual
98,Do Hispanics face discrimination in the US?,_ndcg@2,Mistral-llava,1.0,Clip,1.0,Qwen2,1.0,3,3,3,3,Devang,1&2&3,9,manual
99,Do Hispanics face discrimination in the US?,_ndcg@3,Qwen2,1.0,Mistral,0.9570986642361144,Mistral-llava,0.8712959927083435,3,3,3,3,Devang,,9,manual
100,Can online banking replace traditional banking?,_ndcg@1,Qwen2,1.0,BM25,1.0,BM25-llava,1.0,3,3,3,2,Devang,1&2&3,11,manual
101,Can online banking replace traditional banking?,_ndcg@2,BM25,1.0,Qwen2,0.9161412391433724,Mistral,0.8322824782867448,3,3,3,3,Devang,,11,manual
102,Can online banking replace traditional banking?,_ndcg@3,BM25,0.894999002123018,Qwen2,0.8287507484077364,BM25-llava,0.8150029936309461,3,3,3,3,Devang,,11,manual
103,Should immigrants who commit crimes be deported?,_ndcg@1,Qwen2,1.0,BM25,1.0,Mistral-llava,1.0,3,3,3,2,Harshil,1&2&3,9,random
104,Should immigrants who commit crimes be deported?,_ndcg@2,Clip,1.0,BM25,0.908465248289621,Mistral,0.908465248289621,3,3,3,3,Harshil,,9,random
105,Should immigrants who commit crimes be deported?,_ndcg@3,Clip,1.0,Mistral,0.9200625111439562,Qwen2,0.9200625111439562,3,2,3,2,Harshil,,9,random
106,Should online piracy of TV shows be punishable by law?,_ndcg@1,Qwen2,0.75,Mistral-llava,0.75,Clip,0.75,3,2,3,1,Harshil,1&2&3,13,random
107,Should online piracy of TV shows be punishable by law?,_ndcg@2,Qwen2,0.9373691761066304,Mistral-llava,0.7232329748419101,Mistral,0.6606021509485402,3,2,3,3,Harshil,,13,random
108,Should online piracy of TV shows be punishable by law?,_ndcg@3,Qwen2,0.8824435249295117,Mistral,0.7294661149577071,Mistral-llava,0.7117556475070489,3,2,3,1,Harshil,,13,random
109,Is a low inflation rate beneficial to the economy?,_ndcg@1,Qwen2,1.0,Mistral,0.75,BM25,0.5,3,3,3,3,Shashi,,16,manual
110,Is a low inflation rate beneficial to the economy?,_ndcg@2,Qwen2,0.8065735963827293,BM25,0.6934264036172708,Mistral,0.5565735963827292,3,2,3,1,Shashi,,16,manual
111,Is a low inflation rate beneficial to the economy?,_ndcg@3,Qwen2,0.8427338364047597,BM25,0.7507390280692655,Mistral,0.5771550256590888,3,2,3,2,Shashi,,16,manual
112,Are property prices in European cities too high?,_ndcg@1,Qwen2,1.0,BM25,0.8333333333333334,Mistral-llava,0.5,3,3,3,2,Shashi,,15,manual
113,Are property prices in European cities too high?,_ndcg@2,Qwen2,1.0,Mistral,0.5630635209026998,BM25,0.5461705988716252,3,3,3,3,Shashi,,15,manual
114,Are property prices in European cities too high?,_ndcg@3,Qwen2,1.0,Mistral,0.6245770191817948,BM25,0.5631344712273079,3,3,3,3,Shashi,,15,manual
115,Do people prefer online shopping over in-store shopping?,_ndcg@1,Qwen2,1.0,BM25,1.0,Mistral,1.0,3,3,3,2,Shashi,1&2&3,11,manual
116,Do people prefer online shopping over in-store shopping?,_ndcg@2,Mistral,1.0,BM25,0.9226294385530918,Qwen2,0.8452588771061834,3,3,3,2,Shashi,,11,manual
117,Do people prefer online shopping over in-store shopping?,_ndcg@3,Mistral,0.9507614678330716,BM25,0.9378678900673996,Qwen2,0.924974312301727,3,3,3,2,Shashi,,11,manual
118,Is Facebook still the most popular social network?,_ndcg@1,Clip,0.8333333333333334,Qwen2,0.6666666666666666,Mistral,0.3333333333333333,3,3,3,2,Shashi,,17,manual
119,Is Facebook still the most popular social network?,_ndcg@2,Qwen2,0.8504508167221599,Clip,0.5461705988716252,Mistral,0.35630635209027,3,2,3,2,Shashi,,17,manual
120,Is Facebook still the most popular social network?,_ndcg@3,Qwen2,0.7876158814381369,Clip,0.4482436071324599,Mistral,0.4268946164279477,3,3,3,2,Shashi,,17,manual
121,Is Islamophobia on the rise in the world?,_ndcg@1,Qwen2,1.0,Mistral,0.25,Mistral-llava,0.25,2,1,2,2,Devang,,12,manual
122,Is Islamophobia on the rise in the world?,_ndcg@3,Qwen2,1.0,Mistral,0.5169525925206234,Mistral-llava,0.3033905185041247,3,2,3,2,Devang,,12,manual
123,Is Islamophobia on the rise in the world?,_ndcg@2,Qwen2,1.0,Mistral,0.25,Mistral-llava,0.25,3,3,2,3,Devang,,12,manual
124,Is an aging population a concern for Europe's future?,_ndcg@1,Mistral,1.0,Qwen2,1.0,Mistral-llava,1.0,3,2,3,1,Shashi,1&2&3,13,manual
125,Is an aging population a concern for Europe's future?,_ndcg@3,Mistral,1.0,Qwen2,1.0,Mistral-llava,0.5540952673819174,3,2,3,2,Shashi,1&2,13,manual
126,Is an aging population a concern for Europe's future?,_ndcg@2,Qwen2,1.0,Mistral,1.0,Mistral-llava,0.6645649565734895,3,2,3,1,Shashi,1&2,13,manual
127,Does India see Pakistan as a threat?,_ndcg@1,Mistral,1.0,BM25,1.0,Qwen2,1.0,3,3,3,2,Zeru,1&2&3,7,random
128,Does India see Pakistan as a threat?,_ndcg@2,Mistral,1.0,BM25,1.0,Qwen2,1.0,3,2,3,2,Zeru,1&2&3,7,random
129,Does India see Pakistan as a threat?,_ndcg@3,Qwen2,0.914197328472229,Mistral,0.914197328472229,BM25,0.7854933211805725,3,3,3,2,Zeru,1&2,7,random
130,Is anti-Semitism on the rise globally?,_ndcg@1,Mistral,1.0,Qwen2,1.0,Clip,0.8,3,2,3,1,Zeru,1&2,11,random
131,Is anti-Semitism on the rise globally?,_ndcg@2,Qwen2,0.9161412391433724,Mistral,0.9161412391433724,Mistral-llava,0.7341740173706042,3,1,3,2,Zeru,1&2,11,random
132,Is anti-Semitism on the rise globally?,_ndcg@3,Mistral,0.9300809618991231,Qwen2,0.9300809618991231,Mistral-llava,0.6121333128326577,3,3,3,3,Zeru,1&2,11,random
133,Should pets be considered a necessary part of a household?,_ndcg@1,Mistral,1.0,Qwen2,0.8,Clip,0.0,3,3,3,2,Zeru,,14,random
134,Should pets be considered a necessary part of a household?,_ndcg@2,Mistral,0.6645649565734895,Qwen2,0.6155107261154192,BM25-llava,0.3354350434265105,3,3,3,2,Zeru,,14,random
135,Should pets be considered a necessary part of a household?,_ndcg@3,Mistral,0.6452582482812901,Qwen2,0.6019590445170673,Mistral-llava,0.3547417517187098,2,3,3,3,Zeru,,14,random
136,Is nuclear energy safer than coal energy?,_ndcg@1,Qwen2,1.0,BM25,1.0,Mistral,1.0,3,3,3,2,Devang,1&2&3,11,random
137,Is nuclear energy safer than coal energy?,_ndcg@2,Qwen2,1.0,Mistral,0.9200625111439562,Mistral-llava,0.9200625111439562,3,3,3,2,Devang,,11,random
138,Is nuclear energy safer than coal energy?,_ndcg@3,Qwen2,0.9467676761267002,Mistral-llava,0.9328282860331658,Mistral,0.7731313144132663,3,3,3,2,Devang,,11,random
139,Should social media be more transparent about data collection?,_ndcg@1,Qwen2,1.0,BM25-llava,1.0,Mistral,1.0,2,3,2,2,Devang,1&2&3,12,random
140,Should social media be more transparent about data collection?,_ndcg@2,Mistral,1.0,Qwen2,0.89293189936764,BM25,0.7858637987352798,3,3,3,2,Devang,,12,random
141,Should social media be more transparent about data collection?,_ndcg@3,Qwen2,0.9810048227765072,Mistral,0.8549208510262275,BM25,0.6718513476054694,3,2,3,2,Devang,,12,random
142,Is the decline in marriage rates a cause for concern?,_ndcg@1,Clip,1.0,BM25,0.8,Mistral-llava,0.8,2,1,3,1,Mazz Hussian,,9,random
143,Is the decline in marriage rates a cause for concern?,_ndcg@2,Clip,1.0,Mistral-llava,0.8773705614469083,Qwen2,0.7226294385530917,3,1,3,2,Mazz Hussian,,9,random
144,Is the decline in marriage rates a cause for concern?,_ndcg@3,Clip,1.0,Qwen2,0.8264972479678704,Mistral-llava,0.7538073391653585,2,3,3,1,Mazz Hussian,,9,random
145,Should the internet be considered a daily necessity?,_ndcg@1,Mistral,1.0,Qwen2,0.6666666666666666,BM25,0.1666666666666666,3,3,3,2,Manish,,14,random
146,Should the internet be considered a daily necessity?,_ndcg@2,Mistral,0.9259795222585336,Qwen2,0.5432992037642228,BM25-llava,0.4441228664487978,3,3,3,3,Manish,,14,random
147,Should the internet be considered a daily necessity?,_ndcg@3,Mistral,0.9370563208453614,Qwen2,0.5118788491835059,BM25-llava,0.4275437604865945,3,3,3,3,Manish,,14,random
148,Is society more accepting of transgender people?,_ndcg@1,Clip,1.0,Qwen2,1.0,Mistral-llava,1.0,3,3,3,3,Manish,1&2&3,8,random
149,Is society more accepting of transgender people?,_ndcg@2,Mistral-llava,1.0,Qwen2,1.0,BM25,0.959684936496485,3,3,3,2,Manish,1&2,8,random
150,Is society more accepting of transgender people?,_ndcg@3,Qwen2,1.0,Mistral-llava,0.9570986642361144,Mistral,0.9254314511111328,3,3,3,3,Manish,,8,random
151,Does reducing police funding increase crime?,_ndcg@1,Mistral,0.3333333333333333,Mistral-llava,0.3333333333333333,Clip,0.3333333333333333,2,1,2,1,Manish,1&2&3,10,random
152,Does reducing police funding increase crime?,_ndcg@2,Qwen2,0.6319825771735098,Mistral,0.35630635209027,Mistral-llava,0.35630635209027,3,2,3,2,Manish,,10,random
153,Does reducing police funding increase crime?,_ndcg@3,Qwen2,0.6083184385851529,BM25,0.4621076714410481,Mistral,0.2924215342882096,3,2,3,2,Manish,,10,random
154,Do Russians regret the breakup of the Soviet Union?,_ndcg@1,BM25-llava,1.0,Mistral-llava,1.0,Mistral,1.0,3,3,3,3,Manish,1&2&3,8,random
155,Do Russians regret the breakup of the Soviet Union?,_ndcg@2,Qwen2,1.0,Mistral,1.0,Mistral-llava,1.0,3,3,3,3,Manish,1&2&3,8,random
156,Do Russians regret the breakup of the Soviet Union?,_ndcg@3,Mistral,1.0,Qwen2,1.0,Mistral-llava,0.8592163821931731,3,3,3,3,Manish,1&2,8,random
157,Have organ donation been increasing over time in UK?,_ndcg@1,Mistral,1.0,Qwen2,1.0,Mistral-llava,0.4,2,2,2,3,Shashi,1&2,11,random
158,Have organ donation been increasing over time in UK?,_ndcg@2,Qwen2,1.0,Mistral,0.8322824782867448,Mistral-llava,0.6851197869125338,3,3,3,3,Shashi,,11,random
159,Have organ donation been increasing over time in UK?,_ndcg@3,Qwen2,0.9474995010615088,Mistral,0.7625024946924551,Mistral-llava,0.6462442622073531,3,3,3,2,Shashi,,11,random
160,Is air travel becoming less safe?,_ndcg@1,Qwen2,1.0,Mistral,1.0,BM25-llava,0.3333333333333333,3,3,3,2,Shashi,1&2,11,random
161,Is air travel becoming less safe?,_ndcg@2,Qwen2,1.0,Mistral,0.8621618874583801,BM25,0.4135143376248598,3,2,3,2,Shashi,,11,random
162,Is air travel becoming less safe?,_ndcg@3,Qwen2,1.0,Mistral,0.8346393630113783,BM25,0.4491540383635896,3,3,3,2,Shashi,,11,random
163,Do tattoos negatively impact job opportunities?,_ndcg@1,Qwen2,1.0,BM25,1.0,Mistral-llava,1.0,3,3,3,2,Shashi,1&2&3,8,random
164,Do tattoos negatively impact job opportunities?,_ndcg@2,Qwen2,1.0,Mistral-llava,0.8452588771061834,BM25,0.8452588771061834,3,3,3,3,Shashi,,8,random
165,Do tattoos negatively impact job opportunities?,_ndcg@3,Qwen2,0.9507614678330716,Mistral,0.924974312301727,BM25-llava,0.8030458713322868,3,3,3,2,Shashi,,8,random
166,Should newspapers shift entirely to digital formats?,_ndcg@1,Qwen2,0.6666666666666666,Mistral-llava,0.5,Clip,0.5,3,3,3,2,Nikhil,,13,random
167,Should newspapers shift entirely to digital formats?,_ndcg@2,Qwen2,0.6913401592471553,Mistral-llava,0.3519590445170673,Clip,0.3519590445170673,3,3,3,3,Nikhil,,13,random
168,Should newspapers shift entirely to digital formats?,_ndcg@3,Qwen2,0.8871746352865983,Mistral-llava,0.3990534844701043,Mistral,0.3384760941402048,3,2,3,3,Nikhil,,13,random
169,Are Football League ticket prices too expensive?,_ndcg@1,BM25-llava,1.0,Qwen2,0.6,Mistral-llava,0.6,3,3,3,2,Nikhil,,11,random
170,Are Football League ticket prices too expensive?,_ndcg@2,BM25-llava,0.9161412391433724,Qwen2,0.8180327782272317,Mistral-llava,0.7341740173706042,3,3,3,2,Nikhil,,11,random
171,Are Football League ticket prices too expensive?,_ndcg@3,Qwen2,0.8562462579613171,BM25-llava,0.8287507484077364,Mistral-llava,0.7374975053075448,3,3,3,3,Nikhil,,11,random
172,Is the UK's defense spending increasing?,_ndcg@1,Qwen2,1.0,Mistral,1.0,BM25,0.6,3,3,3,2,Nikhil,1&2,12,random
173,Is the UK's defense spending increasing?,_ndcg@2,Qwen2,0.9161412391433724,Mistral,0.8322824782867448,BM25,0.3987389739440937,3,2,3,2,Nikhil,,12,random
174,Is the UK's defense spending increasing?,_ndcg@3,Mistral,0.915571450536438,Qwen2,0.8746714351609314,BM25,0.4432762139055339,3,3,3,2,Nikhil,,12,random
175,Should health and fitness apps be free to download?,_ndcg@1,BM25-llava,0.6666666666666666,BM25,0.6666666666666666,Mistral,0.6666666666666666,3,3,2,3,Nikhil,1&2&3,10,random
176,Should health and fitness apps be free to download?,_ndcg@2,Qwen2,0.7956176024115139,BM25,0.7956176024115139,Mistral,0.6666666666666667,3,2,3,3,Nikhil,1&2,10,random
177,Should health and fitness apps be free to download?,_ndcg@3,Qwen2,0.9151505377371352,BM25,0.7454516132114052,Mistral,0.638383512579045,3,2,3,3,Nikhil,,10,random
178,Are women more likely to use Instagram than men?,_ndcg@1,Mistral-llava,1.0,Mistral,0.8333333333333334,Qwen2,0.8333333333333334,3,3,3,3,Nikhil,,13,random
179,Are women more likely to use Instagram than men?,_ndcg@2,Mistral-llava,0.93108094372919,Mistral,0.8907658802256749,Qwen2,0.8907658802256749,3,3,3,2,Nikhil,,13,random
180,Are women more likely to use Instagram than men?,_ndcg@3,Mistral-llava,0.9458645415972108,Qwen2,0.8712959927083435,Mistral,0.8712959927083435,3,3,3,2,Nikhil,,13,random
